epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3239.74,0.28743,0.34851,0.84069,0.97728,1,0.99344,0.98634,0.18913,0.29822,0.798,0.0011684,0.0011684,0.0011684
44,3316.97,0.25716,0.31862,0.83316,0.989,0.99934,0.99445,0.98685,0.21871,0.28487,0.80092,0.0011486,0.0011486,0.0011486
45,3395.55,0.25943,0.3158,0.84195,0.97753,1,0.99456,0.98232,0.22943,0.2863,0.80237,0.0011288,0.0011288,0.0011288
46,3474.52,0.24001,0.28968,0.82798,0.9775,0.96543,0.99225,0.97594,0.21863,0.33552,0.81139,0.001109,0.001109,0.001109
47,3558.89,0.2725,0.31635,0.84439,0.97375,0.96667,0.99268,0.9807,0.22209,0.33639,0.81319,0.0010892,0.0010892,0.0010892
48,3641.16,0.26652,0.30762,0.83983,0.98889,0.98876,0.99376,0.98235,0.22526,0.32246,0.81787,0.0010694,0.0010694,0.0010694
49,3721.28,0.27381,0.30759,0.8402,0.98863,0.98889,0.99407,0.9836,0.19699,0.33908,0.80418,0.0010496,0.0010496,0.0010496
50,3804.87,0.25348,0.2945,0.83248,1,0.97624,0.99446,0.98065,0.21086,0.30673,0.81094,0.0010298,0.0010298,0.0010298
51,3884.5,0.26908,0.34944,0.86552,0.9854,0.98889,0.99412,0.98191,0.20023,0.27999,0.79878,0.00101,0.00101,0.00101
52,3965.99,0.23744,0.2865,0.82631,0.98561,0.98889,0.9939,0.98423,0.19876,0.27571,0.7986,0.0009902,0.0009902,0.0009902
53,4047.51,0.25543,0.29682,0.83288,0.97714,0.98889,0.99296,0.98238,0.18268,0.28651,0.79576,0.0009704,0.0009704,0.0009704
54,4129.84,0.26292,0.30644,0.83931,0.96452,0.97778,0.98551,0.97761,0.17557,0.35041,0.79246,0.0009506,0.0009506,0.0009506
55,4211.09,0.23794,0.3082,0.83456,0.98889,0.98865,0.99401,0.98602,0.17875,0.24641,0.78974,0.0009308,0.0009308,0.0009308
56,4286.62,0.24865,0.30439,0.83831,0.98837,0.98889,0.99401,0.98373,0.17258,0.26021,0.78868,0.000911,0.000911,0.000911
57,4363.53,0.2428,0.33645,0.82683,0.98848,0.98889,0.99401,0.9866,0.18135,0.26432,0.79104,0.0008912,0.0008912,0.0008912
58,4460.33,0.23341,0.31583,0.82806,0.98803,0.98889,0.99345,0.98451,0.17853,0.26073,0.79629,0.0008714,0.0008714,0.0008714
59,4542.68,0.24591,0.27947,0.83932,0.98899,0.99791,0.98907,0.97742,0.15955,0.24612,0.79369,0.0008516,0.0008516,0.0008516
60,4625.52,0.24483,0.29147,0.83818,0.98898,0.99737,0.99423,0.98331,0.19006,0.27378,0.79818,0.0008318,0.0008318,0.0008318
61,4705.96,0.2327,0.27842,0.82915,0.98889,0.98869,0.99446,0.9877,0.16616,0.24499,0.79604,0.000812,0.000812,0.000812
62,4791.82,0.26243,0.28733,0.84494,1,0.98792,0.99478,0.9869,0.16344,0.24599,0.79218,0.0007922,0.0007922,0.0007922
63,4877.25,0.24274,0.28029,0.85288,1,0.98519,0.99457,0.98583,0.18109,0.29522,0.79865,0.0007724,0.0007724,0.0007724
64,4955.89,0.21455,0.24952,0.83397,0.97814,0.99423,0.99456,0.98589,0.18672,0.28941,0.8043,0.0007526,0.0007526,0.0007526
65,5034.65,0.2203,0.25807,0.8164,0.97815,1,0.99445,0.9865,0.16453,0.2631,0.79797,0.0007328,0.0007328,0.0007328
66,5111.59,0.23873,0.26148,0.83763,0.97821,1,0.99423,0.98548,0.17155,0.25685,0.79883,0.000713,0.000713,0.000713
67,5188.25,0.22606,0.24637,0.83783,0.97821,0.99746,0.99412,0.98577,0.15169,0.23719,0.79736,0.0006932,0.0006932,0.0006932
68,5268.36,0.21899,0.26061,0.82859,0.98711,0.97778,0.99382,0.98707,0.15706,0.25464,0.79982,0.0006734,0.0006734,0.0006734
69,5356.87,0.21237,0.26523,0.83008,0.98888,0.98768,0.99356,0.98103,0.17027,0.26619,0.8169,0.0006536,0.0006536,0.0006536
70,5439.17,0.21358,0.23522,0.82235,0.98888,0.98802,0.99338,0.98358,0.15472,0.25855,0.79772,0.0006338,0.0006338,0.0006338
71,6453.98,0.23497,0.25857,0.83917,0.9881,0.98889,0.99435,0.9856,0.16775,0.25883,0.79381,0.000614,0.000614,0.000614
72,7494.63,0.22599,0.24339,0.83552,0.9879,0.98889,0.99414,0.98872,0.1466,0.22872,0.79324,0.0005942,0.0005942,0.0005942
73,7614.7,0.21557,0.23502,0.81735,0.98871,0.98889,0.99403,0.98793,0.15851,0.23345,0.79699,0.0005744,0.0005744,0.0005744
74,7684.3,0.21544,0.24137,0.8385,0.98859,0.98889,0.99357,0.98437,0.15386,0.22565,0.79542,0.0005546,0.0005546,0.0005546
75,7756.2,0.19487,0.22698,0.81433,0.98853,0.98889,0.99423,0.98706,0.16409,0.22789,0.79483,0.0005348,0.0005348,0.0005348
76,8790.14,0.20976,0.23436,0.82824,0.98833,0.98889,0.99423,0.98935,0.14348,0.2221,0.79404,0.000515,0.000515,0.000515
77,8854.19,0.20058,0.23449,0.82207,0.98824,0.98889,0.99412,0.99023,0.12886,0.21283,0.79306,0.0004952,0.0004952,0.0004952
78,8918.64,0.19344,0.21423,0.82154,0.989,0.99886,0.99357,0.98677,0.15036,0.22063,0.79345,0.0004754,0.0004754,0.0004754
79,9913.75,0.20727,0.26298,0.83334,0.98824,0.98889,0.99323,0.98741,0.1488,0.21684,0.79336,0.0004556,0.0004556,0.0004556
80,9976.08,0.19821,0.24187,0.83217,0.98828,0.98889,0.99279,0.98798,0.14265,0.22253,0.79284,0.0004358,0.0004358,0.0004358
81,10038.7,0.20291,0.26404,0.83558,0.98814,0.98889,0.99291,0.9864,0.12408,0.21106,0.78972,0.000416,0.000416,0.000416
